grid,positionOrder,laps_pct,driver_age,driver_championship_position,driver_championship_wins
0.375,0.30434782608695654,1.0,0.749301025163094,0.34615384615384615,0.0
0.7083333333333333,0.13043478260869565,1.0,0.3886300093196644,0.2692307692307693,0.0
0.20833333333333331,0.21739130434782608,1.0,0.3388215802008906,0.2692307692307693,0.0
0.41666666666666663,0.34782608695652173,1.0,0.7440198819509165,0.5000000000000001,0.0
0.5,0.4347826086956522,1.0,0.09423216319768035,0.5000000000000001,0.0
0.7083333333333333,0.8695652173913043,0.8461538461538461,0.10769390079734908,0.576923076923077,0.0
0.08333333333333333,0.043478260869565216,1.0,0.33809671740706226,0.11538461538461539,0.15789473684210525
0.6666666666666666,0.8260869565217391,0.1607142857142857,0.38552345448897185,0.34615384615384615,0.0
0.5416666666666666,0.4782608695652174,1.0,0.22708915812364083,0.6538461538461539,0.0
0.75,0.8260869565217391,0.02,0.402091746919333,0.7692307692307693,0.0
0.041666666666666664,0.043478260869565216,1.0,0.44009526768147444,0.07692307692307693,0.0
0.8333333333333333,0.5652173913043479,0.981132075471698,0.37402920161540854,0.6538461538461539,0.0
0.75,0.782608695652174,0.1780821917808219,0.4889717303510408,0.46153846153846156,0.0
0.16666666666666666,0.043478260869565216,1.0,0.42963653308480887,0.0,0.05263157894736842
0.625,0.5217391304347826,0.1232876712328767,0.4721963342652997,0.7307692307692308,0.0
0.08333333333333333,0.043478260869565216,1.0,0.4328466397431914,0.11538461538461539,0.0
0.6666666666666666,0.17391304347826086,0.987012987012987,0.21269545407476442,0.3076923076923077,0.0
0.4583333333333333,0.9130434782608696,0.0,0.3072382727555141,0.8076923076923078,0.0
0.6666666666666666,0.5652173913043479,0.9821428571428572,0.19985502744123418,0.19230769230769232,0.0
0.08333333333333333,0.6086956521739131,0.5151515151515151,0.35145490317904104,0.34615384615384615,0.0
0.7916666666666666,0.6956521739130435,0.8032786885245902,0.3124158641400021,0.7307692307692308,0.0
0.4583333333333333,0.8260869565217391,0.6590909090909091,0.719374546960754,0.42307692307692313,0.0
0.25,0.21739130434782608,1.0,0.6170653412032723,0.11538461538461539,0.05263157894736842
0.75,0.5217391304347826,0.9298245614035088,0.3219426322874598,0.6923076923076924,0.0
0.29166666666666663,0.4347826086956522,0.9818181818181818,0.4903179041110075,0.3076923076923077,0.0
0.5416666666666666,0.8260869565217391,0.296875,0.46111628870249555,0.34615384615384615,0.0
0.25,0.5652173913043479,0.9821428571428572,0.6998032515273895,0.2692307692307693,0.0
0.625,0.6956521739130435,0.8028169014084507,0.21714818266542402,0.46153846153846156,0.0
0.041666666666666664,0.043478260869565216,1.0,0.2735839287563425,0.038461538461538464,0.05263157894736842
0.625,0.4347826086956522,1.0,0.2208760484622554,0.46153846153846156,0.0
0.08333333333333333,0.13043478260869565,1.0,0.3503158330744536,0.19230769230769232,0.05263157894736842
0.7916666666666666,0.782608695652174,0.4833333333333333,0.229574401988195,0.6538461538461539,0.0
0.29166666666666663,0.08695652173913043,1.0,0.37123330226778495,0.0,0.0
0.4583333333333333,0.34782608695652173,1.0,0.3134513824168996,0.3846153846153847,0.0
0.20833333333333331,0.21739130434782608,1.0,0.8015946981464224,0.15384615384615385,0.0
0.041666666666666664,0.08695652173913043,1.0,0.26478202340271295,0.11538461538461539,0.0
0.25,0.21739130434782608,1.0,0.1377239308273791,0.2692307692307693,0.0
0.5833333333333333,0.30434782608695654,1.0,0.48337993165579385,0.5384615384615385,0.0
0.125,0.08695652173913043,1.0,0.5418867143005073,0.11538461538461539,0.0
0.375,0.6521739130434783,0.609375,0.5478927203065134,0.5000000000000001,0.0
0.125,0.34782608695652173,0.9859154929577464,0.31800766283524895,0.2307692307692308,0.0
