grid,positionOrder,points,laps,quali_position,driver_season_points,constructor_race_points,total_pit_stops
-0.6666666666666666,0.4166666666666667,0.0,0.32558139534883723,-2.375,3.1875,1.2,0.0
0.6666666666666666,0.5,0.0,0.32558139534883723,-1.0,-0.0625,0.0,0.0
0.75,0.5833333333333334,0.0,0.20930232558139536,-0.25,-0.1875,0.0,0.0
0.0,0.6666666666666666,0.0,-0.7209302325581395,-1.375,0.1875,0.0,0.0
-0.8333333333333334,-0.9166666666666666,5.0,0.09302325581395349,-2.625,3.8125,2.0,0.0
-0.75,-0.8333333333333334,4.0,0.09302325581395349,-2.5,4.1875,2.6,0.0
-0.6666666666666666,-0.75,3.0,0.09302325581395349,-2.375,3.25,1.2,0.0
-0.5,-0.6666666666666666,2.5,0.09302325581395349,-2.125,2.5,2.6,0.0
-0.3333333333333333,-0.5833333333333334,2.0,0.09302325581395349,-1.875,1.4375,1.2,0.0
-0.4166666666666667,-0.5,1.5,0.09302325581395349,-2.0,0.375,0.6,0.0
0.16666666666666666,-0.4166666666666667,1.0,0.09302325581395349,-1.125,0.75,1.2,0.0
-0.16666666666666666,-0.3333333333333333,0.5,0.09302325581395349,-1.625,0.375,0.2,0.0
-0.25,-0.25,0.0,0.09302325581395349,-1.75,2.375,1.2,0.0
-0.08333333333333333,-0.16666666666666666,0.0,0.09302325581395349,-1.5,-0.0625,0.6,0.0
0.3333333333333333,-0.08333333333333333,0.0,0.09302325581395349,-0.875,0.625,0.0,0.0
0.25,0.0,0.0,0.06976744186046512,-1.0,0.9375,0.0,0.0
0.4166666666666667,0.08333333333333333,0.0,0.06976744186046512,-0.75,0.0,0.0,0.0
0.5833333333333334,0.16666666666666666,0.0,0.06976744186046512,-0.5,-0.1875,0.0,0.0
0.0,0.25,0.0,0.06976744186046512,-1.375,0.3125,0.2,0.0
0.6666666666666666,0.3333333333333333,0.0,0.06976744186046512,-0.375,0.5,0.0,0.0
0.5,0.4166666666666667,0.0,0.06976744186046512,-0.625,0.1875,0.0,0.0
-0.5833333333333334,0.5,0.0,-0.18604651162790697,-2.25,3.375,2.0,0.0
0.75,0.5833333333333334,0.0,-0.27906976744186046,-0.25,-0.1875,0.0,0.0
0.08333333333333333,0.6666666666666666,0.0,-1.2325581395348837,-1.25,0.9375,0.0,0.0
-0.75,-0.9166666666666666,5.0,-0.20930232558139536,-2.5,4.4375,2.0,0.0
-0.5,-0.8333333333333334,4.0,-0.20930232558139536,-2.125,2.875,2.2,0.0
-0.8333333333333334,-0.75,3.0,-0.20930232558139536,-2.625,4.5625,1.2,0.0
-0.4166666666666667,-0.6666666666666666,2.5,-0.20930232558139536,-2.0,1.25,1.0,0.0
-0.08333333333333333,-0.5833333333333334,2.0,-0.20930232558139536,-1.5,0.625,1.2,0.0
-0.25,-0.5,1.5,-0.20930232558139536,-1.75,3.4375,2.2,0.0
