PC1,PC2,Cluster
-0.9597892119730896,-0.0215495244705733,0
-1.1480570214134411,-0.0508872127651359,0
-1.4538349272377875,-0.200991986805715,0
-1.271600992698108,-0.1074828041379613,0
-0.2693719185295582,-0.0713119467927871,0
-1.5128880422957431,-0.2212979938769972,0
-1.4280136652691209,-0.1785317779570058,0
-1.4255892595324222,-0.1736149109467223,0
-0.5937501021461143,0.059407006753782,0
-0.6233399925241884,-0.0048090952308913,0
5.23699674224853,-1.0090317048849016,1
4.404556829282039,-0.8186029257989009,1
2.829330795328798,-0.5901169736408126,1
2.3918095800249715,-0.500762727616555,0
1.180469018489389,-0.3890376671658395,0
0.6058022749424483,-0.3099330407769137,0
0.0621687566405149,-0.2151420557423579,0
-0.3883650859263995,-0.0732919947709124,0
-0.5716582517975795,-0.0333869320877211,0
-1.2249093329012084,-0.1174784149577929,0
-1.2054454000523576,-0.0978259847040186,0
-1.123915016713494,-0.0468008371589845,0
-1.3547592948963565,-0.1544055250891609,0
-1.3973618125375185,-0.1661258121266464,0
-1.4420067392503426,-0.1796123481830435,0
-1.2093950478297713,-0.053687905447683,0
-1.3761304664509588,-0.1281536270676881,0
-0.8716312112788629,0.0687897383420376,0
-1.4805683249396786,-0.201678821245906,0
-1.0892317525561823,-0.1217429543847993,0
-1.4371585519285777,-0.169648839338578,0
-1.0372912595953927,-0.1349339088244386,0
5.174930291758518,-1.0404044221761612,1
4.4355900545270455,-0.802916567153271,1
2.5420271115794835,-0.5581203979642879,0
2.1795849740287574,-0.4898892495959585,0
1.679997308234918,-0.4319077208629608,0
0.6989019506774679,-0.262873964840024,0
0.6678093493841515,-0.2634488484497774,0
-0.5435312121514314,-0.1517237879990619,0
-0.9630318294733397,0.0058126316180134,0
-1.038797513248527,-0.0234359594705383,0
-1.0063209531365882,-0.0562793441639519,0
-1.1550357737758574,-0.0625628921911391,0
-1.2286715166620257,-0.0899695378742545,0
-1.3023072595481942,-0.1173761835573699,0
-0.6231409400099517,0.0585159747674384,0
-1.45170868620955,-0.174031420329037,0
-1.4322447533606992,-0.1543789900752627,0
-1.285303925844064,-0.0802400568640115,0
-1.5095477484687654,-0.2044383044307983,0
-1.5475922196234286,-0.2345184001238056,0
-1.217796034324514,-0.0580023834137323,0
-1.510794294814746,-0.1970554850216933,0
4.781514305011095,-1.0029711074893382,1
3.949074392044604,-0.8125423284033377,1
3.209734154813132,-0.5750544733804476,1
2.042439445785644,-0.5001388692312901,0
2.3036584989604725,-0.4120323399775624,0
1.1053305646879783,-0.3528030944740349,0
0.2278204616162393,-0.1913914364169988,0
-0.209700753687587,-0.1020371903927413,0
-1.120725004210767,-0.0748045205657385,0
-1.256427197586948,-0.1335838835401137,0
-1.0817971385130654,-0.0354996600581898,0
-1.248532557134253,-0.1099653816781949,0
-1.135968948550383,-0.0432538754875309,0
-1.3983310914189853,-0.1669640320000281,0
-1.4409336090601472,-0.1786843190375137,0
-1.2764117440358462,-0.0893415313779996,0
-1.1270521700859182,-0.0131108974521004,0
-1.438136877786295,-0.1678049252994448,0
-1.340735560276798,-0.1142055728423955,0
-1.0906951650546644,0.0156402138872007,0
-1.5518919019552824,-0.2131148892770882,0
-1.304378555245544,-0.0854544615030943,0
4.357065093018666,-0.981224151448145,1
3.3124005740559612,-0.779921894341548,1
2.6301188165956715,-0.6317393105674041,0
1.5068699600762778,-0.5936331627198046,0
1.382677683047942,-0.6412671222664478,0
0.9421597819186888,-0.2580610842149906,0
0.5046385666148621,-0.1687068381907331,0
-0.3908500169635884,-0.0754409310772548,0
0.0645730442255365,-0.0663900534369415,0
-0.9951066508886024,-0.0605524066730024,0
-1.1438214715278716,-0.0668359547001896,0
-1.1864239891690336,-0.0785562417376751,0
-0.9807607048501444,0.0352143403898785,0
0.0116777275238799,0.0517676027764856,0
-1.351562333090062,-0.1683018378125684,0
-1.1483839798083617,-0.0566801919913571,0
-1.5758098555755446,-0.2673814643081135,0
-1.459547263155746,-0.2086218988415861,0
-1.595249456531927,-0.2674012618159613,0
-0.7659249814874831,-0.1337552988030093,0
-1.525288365589219,-0.2124100426627828,0
-1.5678908832303813,-0.2241303297002683,0
4.894933407513082,-1.0144754580962014,1
3.2886741483148345,-0.801675864583743,1
2.73052529183457,-0.5907478462270792,0
2.872824470233023,-0.445112549738034,1
1.786109611233025,-0.4373444598732591,0
0.6751755249363407,-0.2846279350822188,0
0.1936084571244198,-0.1584642327564032,0
-0.5362244126475522,-0.1577913995956268,0
-0.9867582552144666,-0.0159413386241813,0
-0.6510873542603135,-0.0144410708067382,0
-1.0430600061408033,-0.0255374994589587,0
-0.8992581168271085,0.0564565786551663,0
-0.3177066421871557,-0.1020907326653809,0
-0.9276097278230684,-0.0558854799463818,0
-1.344909777189356,-0.1290964705948554,0
-1.387512294830518,-0.1408167576323409,0
-1.4322447533606992,-0.1543789900752627,0
-1.3507143700218356,-0.1033538425302286,0
-1.3555956750424734,-0.1159056341721697,0
-1.3382616830826417,-0.0980951493238317,0
